project_name,average_cbo,average_dit,average_lcom,sum_loc,stars,releases,age
graphql-java,7.956723338485316,1.3670788253477588,0.2733435998222565,64936,6100,82,9.22
1brc,3.2983333333333333,1.09,0.4366081845916666,53431,6096,0,0.74
hazelcast,7.822426536866775,1.7574664984075477,0.2812918520929632,1070142,6089,200,12.51
NumberProgressBar,3.1666666666666665,1.3333333333333333,0.2555944083333333,380,6068,3,10.4
grafika,6.407766990291262,1.7475728155339805,0.4490530070873787,10035,6064,1,10.76
micronaut-core,5.690116151654613,1.3355248739864125,0.2088958925873329,163864,6043,248,6.55
EffectiveAndroidUI,4.438356164383562,1.3424657534246576,0.2354246461643836,1923,6034,0,10.22
dynamic-load-apk,5.806451612903226,1.4516129032258065,0.3154066641935483,2620,6025,0,10.48
smile,5.456413890857548,1.307583274273565,0.2898226178433735,105251,6008,28,9.84
material,6.511475409836065,1.6459016393442625,0.3093785597377049,27346,6008,10,9.79
LeetCode-Book,1.3333333333333333,1.0,0.0082364342248062,3121,5994,0,2.77
physical-web,4.788461538461538,1.2884615384615383,0.2470632588461538,7481,5993,17,9.98
xUtils3,5.224770642201835,1.408256880733945,0.2967964422018349,12561,5988,9,8.9
Recaf,8.106788710907704,1.6178489702517165,0.2545936137757437,58003,5955,169,7.16
androidmvp,3.2857142857142856,1.2857142857142858,0.1851851914285714,274,5935,0,10.48
springfox,5.704585537918871,1.120811287477954,0.2641756402645502,32063,5928,12,12.38
material-calendarview,6.454545454545454,1.5340909090909092,0.2669574954545454,3658,5914,22,9.62
ssm,4.157894736842105,1.6842105263157894,0.2226754405263158,369,5911,0,8.26
hibernate-orm,6.758459399098226,1.39766550082171,0.2926005733937761,1006155,5898,48,13.97
motan,6.074754901960785,1.4350490196078431,0.2747222020343137,45431,5884,25,8.42
robolectric,5.648759273471476,1.3550780250703505,0.2108748073092862,213542,5874,102,14.07
gephi,4.430305567182922,1.6743407283382168,0.2353468638911678,125597,5867,19,12.92
java-jwt,5.662790697674419,1.627906976744186,0.3104796888372094,8924,5849,44,10.55
pig,7.224657534246575,1.3123287671232875,0.1311018393424657,7515,5838,18,5.08
blade,4.62214983713355,1.234527687296417,0.2352815943973941,15319,5833,9,9.29
incubator-kie-drools,6.566751291254486,1.565700779129826,0.3002747455972161,750192,5832,4,13.59
java-eight-part,0.0,0.0,0.0,0,5821,0,3.93
useful-java-links,2.304182509505704,1.0228136882129275,0.0482185616349809,5964,5820,0,8.61
BoomMenu,5.6347826086956525,1.5739130434782609,0.1245929228695652,7710,5808,0,8.51
btrace,4.956406869220608,1.3143989431968297,0.1698474940686921,39645,5796,32,10.07
DiskLruCache,3.25,1.3333333333333333,0.4368797725,1937,5790,0,12.71
tcc-transaction,5.254335260115607,1.3082851637764932,0.2805885519460501,23664,5776,8,8.8
DiscreteScrollView,4.228571428571429,1.2476190476190476,0.1502416870190476,3698,5769,2,7.55
SoloPi,4.623076923076923,1.205982905982906,0.1730799857735042,56327,5756,8,5.53
InfiniteCycleViewPager,5.048780487804878,1.6341463414634143,0.1996290195121951,3564,5749,2,8.08
circular-progress-button,3.9743589743589753,1.2820512820512822,0.1257824846153846,1429,5746,3,10.29
SpringBootVulExploit,3.357142857142857,1.0,0.17261905,258,5743,0,4.34
zxing-android-embedded,5.4375,1.3645833333333333,0.3528665024999999,5169,5733,9,11.82
springside4,3.165079365079365,1.276190476190476,0.2118700693650793,12842,5721,3,12.58
XXPermissions,5.5227272727272725,1.8068181818181817,0.1528377419318181,4797,5712,63,6.27
FastHub,8.009635974304068,1.6124197002141327,0.2813381309957173,40321,5708,63,7.59
aurora-imui,4.807017543859649,1.5292397660818713,0.1981992252777777,17789,5707,42,7.78
u2020,6.223880597014926,1.4253731343283582,0.2484682417164179,4806,5682,0,10.86
Fast-Android-Networking,3.219130434782609,1.2504347826086957,0.0599843992695652,19596,5675,10,8.5
vavr,8.515673981191222,1.3025078369905956,0.3021314306112853,64755,5672,16,10.64
vespa,6.140227349847303,1.5957753647777402,0.257729733687309,619709,5638,163,8.3
AndroidImageSlider,4.063492063492063,1.5714285714285714,0.1748979650793651,3813,5631,5,10.31
SwipeRecyclerView,4.854545454545455,1.3890909090909092,0.1983492374618181,11063,5619,0,8.14
flink-cdc,7.848246674727933,1.4619105199516325,0.4194550050967352,95811,5617,19,4.15
HTextView,4.197802197802198,1.5604395604395604,0.1939557601098901,3076,5611,0,8.76
lanproxy,4.238095238095238,1.1904761904761905,0.2798921893650793,2668,5608,1,7.84
Discovery,4.719467956469166,1.2986698911729142,0.238213394637243,25899,5607,130,6.26
ShowcaseView,5.384615384615385,1.4,0.2140288227692307,2086,5602,13,12.1
FlowLayout,4.323529411764706,1.411764705882353,0.1875942658823529,810,5599,0,9.07
jetlinks-community,8.593579234972678,1.2397540983606556,0.3137997989344262,46304,5597,18,4.72
react-native-splash-screen,3.4166666666666665,1.25,0.122222225,246,5597,12,8.02
Blurry,5.142857142857143,1.0,0.1252976214285714,636,5584,0,9.17
ListViewAnimations,6.474452554744525,2.058394160583941,0.2245069897810218,5697,5567,14,11.51
disconf,4.44,1.3576470588235294,0.2939716408705882,14009,5563,12,10.32
datax-web,5.041009463722397,1.38801261829653,0.2397023609148265,13801,5562,5,4.84
google-java-format,5.765060240963855,1.4457831325301205,0.2969248707831325,12966,5562,28,9.37
iotdb,8.079954148158762,1.57844963461814,0.3219586893840091,595226,5532,37,5.83
camel,4.7923364058810085,1.6352301871460857,0.1891951759465986,1735664,5515,0,15.34
Android-ZBLibrary,5.377358490566038,1.559748427672956,0.2812753761320755,14727,5509,25,9.09
StickyListHeaders,4.813953488372093,1.3953488372093024,0.1794518569767442,2112,5508,16,12.53
hive,6.921859545004946,1.40811078140455,0.2809674300514837,2054224,5505,0,15.34
